ID,model,N,J,T,P,K,status,runtime,heuristics_time,total_time,gap,objective,nodes,iterations,timelimit,heuristics_limit
21,2,40,10,100,1000,3,OPTIMAL,157.28590607643127,301.73389291763306,459.01979899406433,0.0,57643.53946976364,3.0,12329.0,300,300
22,0,40,40,10,1000,3,OPTIMAL,5.9790918827056885,0.0,5.9790918827056885,0.0,72594.2520208247,3.0,3286.0,300,300
22,1,40,40,10,1000,3,OPTIMAL,5.482709169387817,300.0096731185913,305.4923822879791,0.0,72594.2520208247,2.0,3276.0,300,300
22,2,40,40,10,1000,3,OPTIMAL,5.420654058456421,300.0096731185913,305.43032717704773,0.0,72594.25201760605,2.0,3014.0,300,300
23,0,40,40,50,1000,3,OPTIMAL,86.908194065094,0.0,86.908194065094,0.0,72483.92051718384,7.0,16040.0,300,300
23,1,40,40,50,1000,3,OPTIMAL,94.16535305976868,300.9309711456299,395.09632420539856,0.0,72483.92051712424,7.0,16056.0,300,300
23,2,40,40,50,1000,3,OPTIMAL,98.64423608779909,300.9309711456299,399.57520723342896,0.0,72483.92051712053,3.0,15776.0,300,300
24,0,40,40,100,1000,3,TIME_LIMIT,300.4289970397949,0.0,300.4289970397949,inf,inf,1.0,30962.0,300,300
24,1,40,40,100,1000,3,TIME_LIMIT,300.6303081512451,300.62707352638245,601.2573816776276,26.511849961455603,161677.4129858762,1.0,30962.0,300,300
24,2,40,40,100,1000,3,TIME_LIMIT,300.7574319839477,300.62707352638245,601.3845055103302,26.52314259728486,161677.4129858762,1.0,30617.0,300,300
25,0,40,80,10,1000,3,OPTIMAL,285.5174307823181,0.0,285.5174307823181,0.0,57534.37671691924,4242.0,30934.0,300,300
25,1,40,80,10,1000,3,OPTIMAL,129.3218719959259,300.0696988105774,429.3915708065033,0.0,57534.37671691924,1925.0,17955.0,300,300
25,2,40,80,10,1000,3,OPTIMAL,102.32948088645936,300.0696988105774,402.3991796970368,0.0,57534.37671691924,1521.0,13589.0,300,300
26,0,40,80,50,1000,3,TIME_LIMIT,300.158607006073,0.0,300.158607006073,0.290360227137043,296874.8797736317,187.0,45906.0,300,300
26,1,40,80,50,1000,3,TIME_LIMIT,300.15798783302307,300.20390796661377,600.3618957996368,0.2910673079630017,297508.834897764,163.0,45203.0,300,300
26,2,40,80,50,1000,3,TIME_LIMIT,300.2280068397522,300.20390796661377,600.431914806366,0.3069643514189218,302461.85620301217,223.0,46813.0,300,300
27,0,40,80,100,1000,3,TIME_LIMIT,300.04068303108215,0.0,300.04068303108215,inf,inf,1.0,57416.0,300,300
27,1,40,80,100,1000,3,TIME_LIMIT,300.33878207206726,301.03291392326355,601.3716959953308,161.903327918942,793451.8988317102,1.0,64425.0,300,300
27,2,40,80,100,1000,3,TIME_LIMIT,300.57973313331604,301.03291392326355,601.6126470565796,161.903327918942,793451.8988317102,1.0,59069.0,300,300
